product_name,price,description,image_url,lost_description,image_path,category,searchable_text
Dell Inspiron...,$1098.42,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 4GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my dell inspiron... in the lecture hall.,images/product_64_0.jpg,electronics,"Dell Inspiron... Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 4GB, Windows 10 Home I think I left my dell inspiron... in the lecture hall. electronics"
MSI GL72M 7RDX,$1099,"Asus ROG Strix GL553VD-DM535T, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home, Eng kbd",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My msi gl72m 7rdx went missing near the campus cafeteria.,images/product_66_0.jpg,electronics,"MSI GL72M 7RDX Asus ROG Strix GL553VD-DM535T, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home, Eng kbd My msi gl72m 7rdx went missing near the campus cafeteria. electronics"
Asus VivoBook...,$729,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my asus vivobook... near the parking area.,images/product_19_0.jpg,electronics,"Asus VivoBook... Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd I dropped my asus vivobook... near the parking area. electronics"
Asus ASUSPRO B...,$1381.13,"Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my asus asuspro b... in the lecture hall.,images/product_115_0.jpg,electronics,"Asus ASUSPRO B... Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd I think I left my asus asuspro b... in the lecture hall. electronics"
MSI GL62M 7REX,$1199,"MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I misplaced my msi gl62m 7rex somewhere in the library.,images/product_90_0.jpg,electronics,"MSI GL62M 7REX MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home I misplaced my msi gl62m 7rex somewhere in the library. electronics"
Acer Aspire A5...,$679,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,Someone might have seen a acer aspire a5... near the hostel area.,images/product_17_0.jpg,electronics,"Acer Aspire A5... Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG Someone might have seen a acer aspire a5... near the hostel area. electronics"
Asus ROG Strix...,$1769,"Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My asus rog strix... went missing near the campus cafeteria.,images/product_27_0.jpg,electronics,"Asus ROG Strix... Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home My asus rog strix... went missing near the campus cafeteria. electronics"
Asus ASUSPRO B...,$1381.13,"Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my asus asuspro b... in the lecture hall.,images/product_115_0.jpg,electronics,"Asus ASUSPRO B... Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd I think I left my asus asuspro b... in the lecture hall. electronics"
Dell Latitude...,$1341.22,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 16GB, 256GB SSD, GeForce GT930MX, Linux",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my dell latitude... while commuting this morning.,images/product_110_0.jpg,electronics,"Dell Latitude... Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 16GB, 256GB SSD, GeForce GT930MX, Linux I lost my dell latitude... while commuting this morning. electronics"
Lenovo V110-15...,$409.63,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,A lenovo v110-15... was reported missing near the main gate.,images/product_43_0.jpg,electronics,"Lenovo V110-15... Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home A lenovo v110-15... was reported missing near the main gate. electronics"
Iconia B1-730H...,$99.99,"Black, 7"", 1.6GHz Dual-Core, 8GB, Android 4.4",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My iconia b1-730h... went missing near the campus cafeteria.,images/product_134_0.jpg,electronics,"Iconia B1-730H... Black, 7"", 1.6GHz Dual-Core, 8GB, Android 4.4 My iconia b1-730h... went missing near the campus cafeteria. electronics"
Lenovo V510 Bl...,$484.23,"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my lenovo v510 bl... near the bus stop yesterday evening.,images/product_56_0.jpg,electronics,"Lenovo V510 Bl... Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home I lost my lenovo v510 bl... near the bus stop yesterday evening. electronics"
Asus AsusPro A...,$1139.54,"Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,A asus asuspro a... was reported missing near the main gate.,images/product_77_0.jpg,electronics,"Asus AsusPro A... Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG A asus asuspro a... was reported missing near the main gate. electronics"
Asus VivoBook...,$295.99,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,A asus vivobook... was reported missing near the main gate.,images/product_29_0.jpg,electronics,"Asus VivoBook... Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd A asus vivobook... was reported missing near the main gate. electronics"
Hewlett Packar...,$1273.11,"Hewlett Packard Spectre 13-v106na Dark Ash Silver, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my hewlett packar... near the bus stop yesterday evening.,images/product_102_0.jpg,electronics,"Hewlett Packar... Hewlett Packard Spectre 13-v106na Dark Ash Silver, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home I lost my hewlett packar... near the bus stop yesterday evening. electronics"
MSI GL62M 7REX...,$1199,"MSI GL62M 7REX2, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my msi gl62m 7rex... while commuting this morning.,images/product_91_0.jpg,electronics,"MSI GL62M 7REX... MSI GL62M 7REX2, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home I lost my msi gl62m 7rex... while commuting this morning. electronics"
Asus ROG Strix...,$1399,"Asus ROG Strix GL702VM-GC146T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1060 3GB, Windows 10 Home, Eng kbd",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My asus rog strix... went missing near the campus cafeteria.,images/product_116_0.jpg,electronics,"Asus ROG Strix... Asus ROG Strix GL702VM-GC146T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1060 3GB, Windows 10 Home, Eng kbd My asus rog strix... went missing near the campus cafeteria. electronics"
Lenovo Yoga 72...,$1149.73,"Lenovo Yoga 720 Grey, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My lenovo yoga 72... went missing near the campus cafeteria.,images/product_83_0.jpg,electronics,"Lenovo Yoga 72... Lenovo Yoga 720 Grey, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10 Home My lenovo yoga 72... went missing near the campus cafeteria. electronics"
IdeaTab S5000,$172.99,"Silver, 7"" IPS, Quad-Core 1.2Ghz, 16GB, 3G, Android 4.2",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my ideatab s5000 in the lecture hall.,images/product_133_0.jpg,electronics,"IdeaTab S5000 Silver, 7"" IPS, Quad-Core 1.2Ghz, 16GB, 3G, Android 4.2 I think I left my ideatab s5000 in the lecture hall. electronics"
Acer Aspire ES...,$469.1,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my acer aspire es... near the bus stop yesterday evening.,images/product_55_0.jpg,electronics,"Acer Aspire ES... Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home I lost my acer aspire es... near the bus stop yesterday evening. electronics"
ThinkPad X240,$1311.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my thinkpad x240 in the lecture hall.,images/product_4_0.jpg,electronics,"ThinkPad X240 12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit I think I left my thinkpad x240 in the lecture hall. electronics"
Samsung Galaxy,$93.99,5 mpx. Android 5.0,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my samsung galaxy near the parking area.,images/product_140_0.jpg,electronics,Samsung Galaxy 5 mpx. Android 5.0 I dropped my samsung galaxy near the parking area. electronics
Acer Spin 5,$564.98,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my acer spin 5 near the bus stop yesterday evening.,images/product_16_0.jpg,electronics,"Acer Spin 5 Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home I lost my acer spin 5 near the bus stop yesterday evening. electronics"
Dell Latitude...,$1337.28,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 8GB, 256GB SSD, GeForce GT930MX, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,Someone might have seen a dell latitude... near the hostel area.,images/product_108_0.jpg,electronics,"Dell Latitude... Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 8GB, 256GB SSD, GeForce GT930MX, Windows 10 Pro Someone might have seen a dell latitude... near the hostel area. electronics"
Acer Aspire A3...,$379.94,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my acer aspire a3... near the parking area.,images/product_36_0.jpg,electronics,"Acer Aspire A3... Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG I dropped my acer aspire a3... near the parking area. electronics"
Asus ROG Strix...,$1769,"Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my asus rog strix... in the lecture hall.,images/product_26_0.jpg,electronics,"Asus ROG Strix... Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home I think I left my asus rog strix... in the lecture hall. electronics"
Acer TravelMat...,$1170.1,"Acer TravelMate P645-S-511A Black, 14"" FHD IPS, Core i5-5200U, 8GB, 256GB SSD, 3G, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my acer travelmat... while commuting this morning.,images/product_85_0.jpg,electronics,"Acer TravelMat... Acer TravelMate P645-S-511A Black, 14"" FHD IPS, Core i5-5200U, 8GB, 256GB SSD, 3G, Windows 10 Pro I lost my acer travelmat... while commuting this morning. electronics"
Nokia X,$109.99,"Andoid, Jolla dualboot",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my nokia x while commuting this morning.,images/product_141_0.jpg,electronics,"Nokia X Andoid, Jolla dualboot I lost my nokia x while commuting this morning. electronics"
Acer Aspire 3...,$393.88,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my acer aspire 3... near the bus stop yesterday evening.,images/product_39_0.jpg,electronics,"Acer Aspire 3... Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux I lost my acer aspire 3... near the bus stop yesterday evening. electronics"
MSI GL72M 7RDX,$1099,"Asus ROG Strix GL553VD-DM535T, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home, Eng kbd",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My msi gl72m 7rdx went missing near the campus cafeteria.,images/product_66_0.jpg,electronics,"MSI GL72M 7RDX Asus ROG Strix GL553VD-DM535T, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home, Eng kbd My msi gl72m 7rdx went missing near the campus cafeteria. electronics"
Asus VivoBook...,$729,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my asus vivobook... near the parking area.,images/product_19_0.jpg,electronics,"Asus VivoBook... Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd I dropped my asus vivobook... near the parking area. electronics"
Toshiba Porteg...,$1366.32,"Toshiba Portege X20W-D-10V Black/Blue, 12.5"" FHD Touch, Core i7-7500U, 8GB, 512GB SSD, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My toshiba porteg... went missing near the campus cafeteria.,images/product_114_0.jpg,electronics,"Toshiba Porteg... Toshiba Portege X20W-D-10V Black/Blue, 12.5"" FHD Touch, Core i7-7500U, 8GB, 512GB SSD, Windows 10 Pro My toshiba porteg... went missing near the campus cafeteria. electronics"
Acer Predator...,$1221.58,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,A acer predator... was reported missing near the main gate.,images/product_95_0.jpg,electronics,"Acer Predator... Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home A acer predator... was reported missing near the main gate. electronics"
Asus ROG Strix...,$1769,"Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my asus rog strix... in the lecture hall.,images/product_26_0.jpg,electronics,"Asus ROG Strix... Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home I think I left my asus rog strix... in the lecture hall. electronics"
Acer Aspire ES...,$379.95,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My acer aspire es... went missing near the campus cafeteria.,images/product_37_0.jpg,electronics,"Acer Aspire ES... Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux My acer aspire es... went missing near the campus cafeteria. electronics"
Lenovo ThinkPa...,$404.23,"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my lenovo thinkpa... near the parking area.,images/product_41_0.jpg,electronics,"Lenovo ThinkPa... Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home I dropped my lenovo thinkpa... near the parking area. electronics"
Galaxy Note 10...,$587.99,"10.1"", 32GB, Black",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my galaxy note 10... near the parking area.,images/product_131_0.jpg,electronics,"Galaxy Note 10... 10.1"", 32GB, Black I dropped my galaxy note 10... near the parking area. electronics"
Dell XPS 13,$1281.99,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my dell xps 13 near the bus stop yesterday evening.,images/product_9_0.jpg,electronics,"Dell XPS 13 13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1 I lost my dell xps 13 near the bus stop yesterday evening. electronics"
Acer Aspire 3...,$494.71,"Acer Aspire 3 A315-51 Black, 15.6"" FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,Someone might have seen a acer aspire 3... near the hostel area.,images/product_60_0.jpg,electronics,"Acer Aspire 3... Acer Aspire 3 A315-51 Black, 15.6"" FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home Someone might have seen a acer aspire 3... near the hostel area. electronics"
Dell Vostro 15...,$497.17,"Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,A dell vostro 15... was reported missing near the main gate.,images/product_61_0.jpg,electronics,"Dell Vostro 15... Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux A dell vostro 15... was reported missing near the main gate. electronics"
Lenovo ThinkPa...,$1349.23,"Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my lenovo thinkpa... in the lecture hall.,images/product_112_0.jpg,electronics,"Lenovo ThinkPa... Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro I think I left my lenovo thinkpa... in the lecture hall. electronics"
Pavilion,$609.99,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My pavilion went missing near the campus cafeteria.,images/product_7_0.jpg,electronics,"Pavilion 15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1 My pavilion went missing near the campus cafeteria. electronics"
Asus VivoBook...,$295.99,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,A asus vivobook... was reported missing near the main gate.,images/product_29_0.jpg,electronics,"Asus VivoBook... Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd A asus vivobook... was reported missing near the main gate. electronics"
Asus ZenBook U...,$1239.2,"Asus ZenBook UX530UX-FY040T Blue, 15.6"" FHD, Core i7-7500U, 8GB, 512GB SSD, GeForce GTX950M 2GB, Windows 10 Home, Eng kbd",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my asus zenbook u... near the parking area.,images/product_98_0.jpg,electronics,"Asus ZenBook U... Asus ZenBook UX530UX-FY040T Blue, 15.6"" FHD, Core i7-7500U, 8GB, 512GB SSD, GeForce GTX950M 2GB, Windows 10 Home, Eng kbd I dropped my asus zenbook u... near the parking area. electronics"
MeMO Pad 7,$130.99,"White, 7"", Atom 1.2GHz, 8GB, Android 4.4",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my memo pad 7 near the parking area.,images/product_127_0.jpg,electronics,"MeMO Pad 7 White, 7"", Atom 1.2GHz, 8GB, Android 4.4 I dropped my memo pad 7 near the parking area. electronics"
Ubuntu Edge,$499.99,Sapphire glass,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my ubuntu edge near the parking area.,images/product_143_0.jpg,electronics,Ubuntu Edge Sapphire glass I dropped my ubuntu edge near the parking area. electronics
Galaxy Tab 3,$97.99,"7"", 8GB, Wi-Fi, Android 4.2, White",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my galaxy tab 3 while commuting this morning.,images/product_125_0.jpg,electronics,"Galaxy Tab 3 7"", 8GB, Wi-Fi, Android 4.2, White I lost my galaxy tab 3 while commuting this morning. electronics"
