product_name,price,description,image_url,lost_description
Acer Spin 5,$564.98,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my acer spin 5 near the bus stop yesterday evening.
Acer Aspire A5...,$679,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,Someone might have seen a acer aspire a5... near the hostel area.
Dell Inspiron...,$679,"Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my dell inspiron... near the parking area.
Asus VivoBook...,$729,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my asus vivobook... near the parking area.
Asus ROG STRIX...,$799,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my asus rog strix... while commuting this morning.
Acer Nitro 5 A...,$809,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my acer nitro 5 a... in the lecture hall.
Asus ROG STRIX...,$899,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I misplaced my asus rog strix... somewhere in the library.
Lenovo ThinkPa...,$999,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my lenovo thinkpa... near the parking area.
Lenovo Legion...,$1149,"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my lenovo legion... near the bus stop yesterday evening.
Lenovo Legion...,$1399,"Lenovo Legion Y720, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 2TB HDD, GeForce GTX 1060 6GB, DOS, RGB backlit keyboard",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my lenovo legion... while commuting this morning.
Asus ROG Strix...,$1769,"Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my asus rog strix... in the lecture hall.
Asus ROG Strix...,$1769,"Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My asus rog strix... went missing near the campus cafeteria.
Asus ROG Strix...,$1799,"Asus ROG Strix SCAR Edition GL503VM-ED115T, 15.6"" FHD 120Hz, Core i7-7700HQ, 16GB, 256GB SSD + 1TB SSHD, GeForce GTX 1060 6GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I misplaced my asus rog strix... somewhere in the library.
Asus VivoBook...,$295.99,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,A asus vivobook... was reported missing near the main gate.
Prestigio Smar...,$299,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My prestigio smar... went missing near the campus cafeteria.
Prestigio Smar...,$299,"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my prestigio smar... in the lecture hall.
Lenovo V110-15...,$321.94,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,A lenovo v110-15... was reported missing near the main gate.
Lenovo V110-15...,$356.49,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My lenovo v110-15... went missing near the campus cafeteria.
Hewlett Packar...,$364.46,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,Someone might have seen a hewlett packar... near the hostel area.
Acer Aspire 3...,$372.7,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my acer aspire 3... in the lecture hall.
Acer Aspire A3...,$379.94,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my acer aspire a3... near the parking area.
Acer Aspire ES...,$379.95,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My acer aspire es... went missing near the campus cafeteria.
Acer Aspire 3...,$391.48,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I misplaced my acer aspire 3... somewhere in the library.
Acer Aspire 3...,$393.88,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my acer aspire 3... near the bus stop yesterday evening.
Asus VivoBook...,$399.99,"Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My asus vivobook... went missing near the campus cafeteria.
Lenovo ThinkPa...,$404.23,"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my lenovo thinkpa... near the parking area.
Acer Aspire 3...,$408.98,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my acer aspire 3... near the bus stop yesterday evening.
Lenovo V110-15...,$409.63,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,A lenovo v110-15... was reported missing near the main gate.
Acer Aspire ES...,$410.46,"Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my acer aspire es... near the parking area.
Asus VivoBook...,$410.66,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I misplaced my asus vivobook... somewhere in the library.
Asus EeeBook R...,$433.3,"Asus EeeBook R416NA-FA014T, 14"" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my asus eeebook r... in the lecture hall.
Acer Aspire 3...,$436.29,"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my acer aspire 3... near the bus stop yesterday evening.
Acer Aspire ES...,$436.29,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I misplaced my acer aspire es... somewhere in the library.
Acer Extensa 1...,$439.73,"Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My acer extensa 1... went missing near the campus cafeteria.
Acer Aspire ES...,$454.62,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I misplaced my acer aspire es... somewhere in the library.
Lenovo V110-15...,$454.73,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my lenovo v110-15... near the parking area.
Acer Aspire A3...,$457.38,"Acer Aspire A315-51-33TG, Black 15.6"" HD, Core i3-7100U, 4GB DDR4, 128GB SSD, Windows 10 Home, ENG",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my acer aspire a3... near the bus stop yesterday evening.
Lenovo V110-15...,$465.95,"Lenovo V110-15IKB, 15.6"" HD, Core i5-7200U, 4GB, 500GB, DOS",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,Someone might have seen a lenovo v110-15... near the hostel area.
Asus VivoBook...,$468.56,"Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My asus vivobook... went missing near the campus cafeteria.
Acer Aspire ES...,$469.1,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my acer aspire es... near the bus stop yesterday evening.
Lenovo V510 Bl...,$484.23,"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my lenovo v510 bl... near the bus stop yesterday evening.
Acer Aspire ES...,$485.9,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 128GB SSD, Linux",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my acer aspire es... in the lecture hall.
Lenovo V510 Bl...,$487.8,"Lenovo V510 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,A lenovo v510 bl... was reported missing near the main gate.
Acer Swift 1 S...,$488.64,"Acer Swift 1 SF113-31 Silver, 13.3"" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my acer swift 1 s... near the parking area.
Acer Aspire 3...,$494.71,"Acer Aspire 3 A315-51 Black, 15.6"" FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,Someone might have seen a acer aspire 3... near the hostel area.
Dell Vostro 15...,$497.17,"Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,A dell vostro 15... was reported missing near the main gate.
Lenovo V510 Bl...,$498.23,"Lenovo V510 Black, 15.6"" FHD, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my lenovo v510 bl... while commuting this morning.
Lenovo ThinkPa...,$1096.02,"Lenovo ThinkPad L460, 14"" FHD IPS, Core i7-6600U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my lenovo thinkpa... while commuting this morning.
Dell Inspiron...,$1098.42,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 4GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my dell inspiron... in the lecture hall.
MSI GL72M 7RDX,$1099,"MSI GL72M 7RDX, 17.3"" FHD, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my msi gl72m 7rdx in the lecture hall.
MSI GL72M 7RDX,$1099,"Asus ROG Strix GL553VD-DM535T, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home, Eng kbd",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My msi gl72m 7rdx went missing near the campus cafeteria.
Asus ROG Strix...,$1101.83,"Apple MacBook Air 13.3"", Core i5 1.8GHz, 8GB, 128GB SSD, Intel HD 4000, RUS",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My asus rog strix... went missing near the campus cafeteria.
Dell Latitude...,$1102.66,"Dell Latitude 5280, 12.5"" HD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I misplaced my dell latitude... somewhere in the library.
Dell Latitude...,$1110.14,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Linux + Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,A dell latitude... was reported missing near the main gate.
Lenovo Legion...,$1112.91,"Lenovo Legion Y520-15IKBM, Black, 15.6"" FHD IPS, Core i5-7300HQ, 8 GB, 128GB SSD + 2 TB HDD, NVIDIA GeForce GTX 1060 6 GB, FreeDOS + Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I misplaced my lenovo legion... somewhere in the library.
Toshiba Porteg...,$1114.55,"Toshiba Portege Z30-C-16J Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my toshiba porteg... near the bus stop yesterday evening.
Acer Predator...,$1123.87,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050Ti 4GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My acer predator... went missing near the campus cafeteria.
Acer Aspire 7...,$1123.87,"Acer Aspire 7 A715-71G, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my acer aspire 7... while commuting this morning.
Dell Inspiron...,$1124.2,"Dell Inspiron 17 2in1 (7779) Silver, 17.3"" FHD Touch, Core i5-7200U, 12GB, 1TB, GeForce GT940MX 2GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,Someone might have seen a dell inspiron... near the hostel area.
Dell Latitude...,$1133.82,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my dell latitude... in the lecture hall.
Lenovo Legion...,$1133.91,"Lenovo Legion Y520, 15.6"" FHD, Core i7-7700HQ, 8GB, 128 GB SSD + 1TB HDD, GTX 1050 4GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my lenovo legion... in the lecture hall.
Asus AsusPro A...,$1139.54,"Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,A asus asuspro a... was reported missing near the main gate.
Acer Nitro 5 A...,$1140.62,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD +1TB, GeForce GTX 1050 Ti 4GB, Windows 10 Home + Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my acer nitro 5 a... near the parking area.
Dell Latitude...,$1143.4,"Dell Latitude 5480, 14"" FHD, Core i5-7440HQ, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my dell latitude... in the lecture hall.
Dell Inspiron...,$1144.2,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB, GeForce GTX 1050 Ti 4GB, Linux + Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,Someone might have seen a dell inspiron... near the hostel area.
Dell Latitude...,$1144.4,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my dell latitude... in the lecture hall.
MSI GP62M 7RDX...,$1149,"MSI GP62M 7RDX Leopard, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my msi gp62m 7rdx... near the parking area.
Lenovo Yoga 72...,$1149.73,"Lenovo Yoga 720 Grey, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My lenovo yoga 72... went missing near the campus cafeteria.
Toshiba Porteg...,$1154.04,"Toshiba Portege Z30-C-16L Grey, 13.3"" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I misplaced my toshiba porteg... somewhere in the library.
Acer TravelMat...,$1170.1,"Acer TravelMate P645-S-511A Black, 14"" FHD IPS, Core i5-5200U, 8GB, 256GB SSD, 3G, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my acer travelmat... while commuting this morning.
Dell Latitude...,$1178.19,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 16GB, 256GB SSD, Linux + Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my dell latitude... near the bus stop yesterday evening.
MSI GS63 7RD S...,$1179,"MSI GS63 7RD Stealth, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, DOS + Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My msi gs63 7rd s... went missing near the campus cafeteria.
Dell Latitude...,$1187.88,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,A dell latitude... was reported missing near the main gate.
Acer Predator...,$1187.98,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ. 8GB, 128GB SSD +1TB, GeForce GTX 1050Ti 4GB, Linux + Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my acer predator... in the lecture hall.
MSI GL62M 7REX,$1199,"MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I misplaced my msi gl62m 7rex somewhere in the library.
MSI GL62M 7REX...,$1199,"MSI GL62M 7REX2, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my msi gl62m 7rex... while commuting this morning.
Lenovo Yoga 91...,$1199.73,"Lenovo Yoga 910 Grey, 13.9"" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I misplaced my lenovo yoga 91... somewhere in the library.
Toshiba Porteg...,$1203.41,"Toshiba Portege X30-D-10J Black/Blue, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,A toshiba porteg... was reported missing near the main gate.
Lenovo IdeaPad...,$1212.16,"Lenovo IdeaPad Miix 510 Platinum Silver, 12.2"" IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I misplaced my lenovo ideapad... somewhere in the library.
Acer Predator...,$1221.58,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,A acer predator... was reported missing near the main gate.
Asus VivoBook...,$1235.49,"Asus VivoBook Pro 15 N580VN-FI006T Gold Metal, 15.6"" UHD, Core i7-7700HQ, 16GB, 1TB + 256GB SSD, GeForce MX150 2GB, Windows 10 Home, Eng kbd",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My asus vivobook... went missing near the campus cafeteria.
Dell Latitude...,$1238.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My dell latitude... went missing near the campus cafeteria.
Asus ZenBook U...,$1239.2,"Asus ZenBook UX530UX-FY040T Blue, 15.6"" FHD, Core i7-7500U, 8GB, 512GB SSD, GeForce GTX950M 2GB, Windows 10 Home, Eng kbd",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my asus zenbook u... near the parking area.
Asus ROG Strix...,$1259,"Asus ROG Strix GL753VE-GC096T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home, Eng kbd",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my asus rog strix... near the bus stop yesterday evening.
Apple MacBook...,$1260.13,"Apple MacBook Air 13"", i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, ENG",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,A apple macbook... was reported missing near the main gate.
Dell Latitude...,$1271.06,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 1TB, GeForce GT930MX, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my dell latitude... while commuting this morning.
Hewlett Packar...,$1273.11,"Hewlett Packard Spectre 13-v106na Dark Ash Silver, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my hewlett packar... near the bus stop yesterday evening.
Toshiba Porteg...,$1294.74,"Toshiba Portege Z30-C-16K Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,Someone might have seen a toshiba porteg... near the hostel area.
MSI GL62VR 7RF...,$1299,"MSI GL62VR 7RFX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 256GB SSD, GeForce GTX 1060 3GB, Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my msi gl62vr 7rf... near the bus stop yesterday evening.
